id,first_name,last_name,ship_addr_st,ship_addr_line2,ship_addr_city,ship_addr_region,postal_code,ship_addr_country,credit_card_type,credit_card_number,phone,email
a2c482fc-a88a-4227-a680-abcede9e7693,Chloe,Kestell,530 Almo Point,PO Box 40394,Canton,Ohio,44760,United States,jcb,3530636637059043,+1-234-249-1787,ckestell0@businesswire.com
df75a0a0-0693-4180-b650-42002dd42636,Kirsti,Lindhe,1163 Sutherland Crossing,Apt 925,Naples,Florida,33961,United States,switch,4911294234553955,+1-305-727-2872,klindhe1@xing.com
9f88c38c-9a0c-43ca-9754-bf7f139a0cf6,Kathy,Hurch,615 Leroy Lane,Suite 51,Winston Salem,North Carolina,27116,United States,jcb,3573313840890964,+1-336-449-4170,khurch2@live.com
801ec246-6571-417a-b9ac-cc8caba89c7f,Avery,O'Keefe,0097 Waywood Point,10th Floor,Rockford,Illinois,61105,United States,mastercard,5010129650884640,+1-815-653-3551,aokeefe3@ifeng.com
58e8a388-8609-4aeb-ab18-6e935b020af7,Perl,Bartolacci,20430 Porter Lane,Apt 1089,Brooklyn,New York,11247,United States,switch,4911661888645804198,+1-212-511-0514,pbartolacci4@harvard.edu
5f366792-8ed9-401c-8291-b6c3c5fd5279,Pam,Crandon,8 Sutteridge Park,15th Floor,Newark,Delaware,19714,United States,diners-club-carte-blanche,30478844550394,+1-302-631-9607,pcrandon5@csmonitor.com
f8f2d607-2e8a-4f94-90d5-b6a3f1d5acf0,Casi,Boundley,766 Claremont Drive,Apt 1158,Fairbanks,Alaska,99709,United States,jcb,3530891469657667,+1-907-962-2752,cboundley6@naver.com
71c55997-66f5-4a2a-8f8d-c774f84eeb4b,Frannie,Jedrzej,35 Debra Terrace,Suite 92,Atlanta,Georgia,31165,United States,jcb,3537346133010820,+1-404-950-4036,fjedrzej7@cdbaby.com
5700111a-b7d9-4b48-b4a8-116947f0b48f,Casey,Rosterne,95 Green Road,Apt 1279,San Antonio,Texas,78235,United States,china-unionpay,5602236099544395748,+1-210-735-3677,crosterne8@xing.com
40145344-c6c5-42c1-b766-43cb57908dfd,Brittani,Mortimer,60 Golf Park,Apt 476,Brooklyn,New York,11205,United States,jcb,3586100786755573,+1-646-729-0192,bmortimer9@jimdo.com
78d41576-43ee-4a35-97c7-20fb621294b2,Blanca,Piotr,72419 Ronald Regan Circle,Suite 8,Charleston,South Carolina,29416,United States,switch,564182530825991475,+1-843-362-1689,bpiotra@squarespace.com
323962ea-58e9-41b2-86d7-8084bb982ebe,Sharon,MacCleod,316 Nova Way,Room 1706,Syracuse,New York,13224,United States,americanexpress,374622483296967,+1-315-838-6555,smaccleodb@unesco.org
e1daabc9-3bf3-4263-b5bb-83d0c2ab5db7,Joyce,Palluschek,0330 New Castle Alley,PO Box 65564,Dallas,Texas,75277,United States,jcb,3537352241149039,+1-214-712-0473,jpalluschekc@apache.org
18294384-98d8-4cd9-bb51-1e1dafd7de4e,Esme,Wasteney,88025 Moose Point,1st Floor,Dallas,Texas,75205,United States,diners-club-carte-blanche,30448486429330,+1-214-976-4742,ewasteneyd@360.cn
